iter	Passed	Remaining
0	1	118
1	2	110
2	3	103
3	3	94
4	4	91
5	5	89
6	6	86
7	7	84
8	8	82
9	8	80
10	9	78
11	10	76
12	11	74
13	11	73
14	12	71
15	13	72
16	15	76
17	16	76
18	17	75
19	18	74
20	19	74
21	20	73
22	21	73
23	23	73
24	24	72
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	68
31	31	67
32	32	66
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	60
41	42	58
42	43	57
43	44	57
44	45	56
45	47	55
46	48	54
47	49	53
48	51	53
49	52	52
50	53	51
51	54	50
52	56	49
53	57	49
54	58	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	37
66	73	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
